Enc. Variable 0,Enc. Variable 1,Enc. Variable 2,Enc. Variable 3,Enc. Variable 4,Enc. Variable 5,Enc. Variable 6,Enc. Variable 7,Enc. Variable 8,Enc. Variable 9,Enc. Variable 10,Enc. Variable 11,Enc. Variable 12,Enc. Variable 13,Enc. Variable 14,Enc. Variable 15
-0.24197131,-0.34860495,0.13807094,-0.2478907,0.123944834,-0.18101409,0.35501605,-0.22574966,0.11209932,-0.1508736,-0.3467437,-0.003078349,-0.23437366,0.008749984,0.80837315,-0.15015657
-0.39736772,-0.32434583,0.42091677,-0.31553718,0.22673999,-0.31038517,0.0906809,-0.5099988,-0.15884358,0.28218946,-0.18676105,-0.01058425,0.08767411,0.52781034,0.29092264,0.60164315
0.17666315,-0.3938838,0.055031046,0.41233236,-0.1823522,-0.43903238,0.13881509,0.056541506,0.062372595,-0.39442995,-0.7088388,0.053300798,-0.054872848,0.096430175,-0.05721649,0.5645072
-0.37076634,-0.03800357,-0.2745921,-0.33318573,-0.39488068,-0.4215182,-0.075056255,-0.004429319,-0.034324836,-0.20712782,-0.2901408,0.167094,0.33872446,0.10175799,0.26524827,0.26843905
-0.10956409,-0.50441366,0.113735944,0.40756997,0.0074582617,0.12161063,-0.24576482,0.3878922,-0.38010058,0.006524943,-0.32860175,-0.31945986,0.33485582,-0.38760668,0.06819582,0.0009395494
0.2573356,-0.20779487,0.37486008,-0.023301356,0.32665515,-0.26404035,0.57619506,0.18985844,-0.291247,-0.122542,0.029619023,0.018778786,0.1323529,-0.13790525,-0.20436366,-0.22515923
0.040319175,-0.20492709,-0.036504023,0.10532756,-0.13373393,-0.19460987,0.16667184,-0.38158894,0.016612047,-0.122518376,-0.0821525,0.07549946,0.6133066,0.10621405,0.056761738,0.19321994
-0.3487017,-0.0039932206,-0.30516648,-0.7690655,0.45096502,0.16348617,-0.07692975,-0.50448483,-0.10865592,-0.32781428,0.21692201,-0.12550457,-0.14532673,-0.13086617,0.31127313,-0.54689395
-0.15250751,-0.10173489,0.23551211,-0.6087713,-0.08270917,-0.19268602,0.27946982,0.18750419,0.012226235,0.14246695,0.23433116,0.03438119,-0.22769868,0.31217757,0.10627352,0.30636564
-0.050293602,-0.37785888,0.26172477,-0.23738259,-0.33094257,-0.27037764,0.0038367566,-0.08735305,-0.17360611,-0.16350877,-0.6695363,0.22298707,0.038071714,0.2208809,0.1985756,0.1822092
0.12541404,-0.32521173,0.34522912,-0.44613087,0.1367294,-0.07811695,0.3691252,0.08251357,-0.3142447,-0.06320894,0.111341186,-0.047886394,0.07909345,-0.36819673,-0.2753045,0.10900945
-0.7862388,-0.24562857,-0.37750435,-0.23010534,0.33621895,-0.01259869,-0.8178423,0.0043845065,0.007134272,-0.23522939,0.06766551,-0.42912745,-0.21655238,0.094536334,0.04163989,-0.49889573
0.041233674,-0.018783655,0.49342665,-0.47602278,0.48868054,0.23038344,0.518688,0.09665848,-0.32352933,0.24135104,0.3797331,-0.62688357,0.098985456,-0.2117383,-0.060309358,0.050587203
-0.15966606,-0.2983859,-0.020268664,-0.0860684,-0.2185223,-0.18230355,-0.06462115,0.017235886,-0.28844142,-0.10385729,-0.32194063,0.036429264,0.20983033,0.02946983,0.17945139,0.25827396
-0.5646452,-0.3459454,-0.023060039,-0.35405475,0.10355884,-0.15153585,0.20439643,-0.5274907,-0.09601016,-0.14293388,-0.12708977,-0.2252267,0.34885427,0.16079317,0.584698,-0.3071588
-0.020481754,-0.28030816,-0.0011587739,-0.034358516,-0.106399484,-0.30480397,-0.08887717,0.23292209,0.29649428,-0.15313044,-0.6694441,0.018733762,0.7527406,-0.35848418,-0.16082548,0.5678364
0.14695767,-0.4433485,0.092469335,0.20348555,-0.16801919,-0.42125922,-0.058089595,0.07350296,0.28980243,-0.30518746,-0.81995517,-0.014134102,0.44011545,-0.24684528,-0.07487416,0.510862
0.12657014,-0.4160789,0.8373077,0.2517176,0.25756863,-0.1257036,0.5400877,-0.24302496,0.122782476,0.08232181,0.015354,-0.66055995,0.6833755,-0.28471637,-0.009903485,0.46328267
-0.20714882,-0.8011815,0.12503812,0.12218076,-0.54545873,0.013383269,-0.29035982,0.60074157,-0.046011105,-0.437008,-0.5292018,-0.21447968,-0.09172976,0.36509597,0.37550035,0.016830606
0.22942573,-0.19843847,0.48168352,-0.26299495,0.21911074,0.23696767,0.9285505,-0.13620596,-0.0052082203,0.014315292,-0.101760045,-0.42155254,-0.1191966,-0.36037132,-0.3928945,-0.25867605
-0.47537577,-0.76617646,0.16419789,-0.2680797,0.018639477,-0.35506648,0.052613683,0.18268219,-0.043363318,-0.48432848,-0.29336765,-0.44854552,0.0068401564,-0.27756208,0.21489128,-0.091874585
